#ClinGen Region Curation Results
#24 Nov,2021
#Genomic Locations are reported on GRCh38 (hg38): GCF_000001405.36
#https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen
#to create link: https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_region.cgi?id=key
#ISCA ID	ISCA Region Name	cytoBand	Genomic Location	Haploinsufficiency Score	Haploinsufficiency Description	Haploinsufficiency PMID1	Haploinsufficiency PMID2	Haploinsufficiency PMID3	Haploinsufficiency PMID4	Haploinsufficiency PMID5	Haploinsufficiency PMID6	Triplosensitivity Score	Triplosensitivity Description	Triplosensitivity PMID1	Triplosensitivity PMID2	Triplosensitivity PMID3	Triplosensitivity PMID4	Triplosensitivity PMID5	Triplosensitivity PMID6	Date Last Evaluated	Loss phenotype OMIM ID	Triplosensitive phenotype OMIM ID
ISCA-46723	21q11.2 population region (DGV_Gold_Standard_June_2021_gssvL74506)	21q11.2	chr21:13585184-13829682	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46722	21q22.3 population region (DGV_Gold_Standard_June_2021_gssvL75982)	21q22.3	chr21:43549137-43554132	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46721	21q22.3 population region (DGV_Gold_Standard_June_2021_gssvL76000)	21q22.3	chr21:43550452-43551866	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46720	20p11.22 population region (DGV_Gold_Standard_June_2021_gssvL71898)	20p11.22	chr20:21505887-21516082	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46719	20q11.21 population region (DGV_Gold_Standard_June_2021_gssvL72187)	20q11.21	chr20:30274364-30301403	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46718	19p12 population region (DGV_Gold_Standard_June_2021_gssvL57428)	19p12	chr19:21904297-22959138	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46717	19q13.42 population region (DGV_Gold_Standard_June_2021_gssvG19479)	19q13.42	chr19:55769264-55778196	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46716	19p12 population region (DGV_Gold_Standard_June_2021_gssvL57316)	19p12	chr19:20412004-20542598	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46715	19p13.12 population region (DGV_Gold_Standard_June_2021_gssvL57062)	19p13.12	chr19:15616920-15676907	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46714	19q13.32 population region (DGV_Gold_Standard_June_2021_gssvL58890)	19q13.32	chr19:46119085-46125218	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46713	19q13.42 population region (DGV_Gold_Standard_June_2021_gssvL59370)	19q13.42	chr19:53436136-53473398	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46712	18q21.1 population region (DGV_Gold_Standard_June_2021_gssvG17872)	18q21.1	chr18:46962327-46978121	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46711	18p11.21 population region (DGV_Gold_Standard_June_2021_gssvG17388)	18p11.21	chr18:14432554-14565139	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46710	18q11.2 population region (DGV_Gold_Standard_June_2021_gssvL52661)	18q11.2	chr18:26167795-26171731	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46709	18p11.22 population region (DGV_Gold_Standard_June_2021_gssvL52196)	18p11.22	chr18:9784175-9793227	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46708	18p11.31 population region (DGV_Gold_Standard_June_2021_gssvL51911)	18p11.31	chr18:3568885-3571732	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46707	17q21.2 population region (DGV_Gold_Standard_June_2021_gssvG16538)	17q21.2	chr17:41375466-41383480	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46706	17q12 population region (DGV_Gold_Standard_June_2021_gssvG16427)	17q12	chr17:36175580-36196832	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46705	17p11.2 population region (DGV_Gold_Standard_June_2021_gssvG16095)	17p11.2	chr17:18456500-18473362	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46704	17p11.2 population region (DGV_Gold_Standard_June_2021_gssvG16067)	17p11.2	chr17:18458425-18520558	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46703	17p11.2 population region (DGV_Gold_Standard_June_2021_gssvG16017)	17p11.2	chr17:16808258-16821368	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46702	17p11.2 population region (DGV_Gold_Standard_June_2021_gssvG16012)	17p11.2	chr17:16757446-16804519	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46701	17p11.2 population region (DGV_Gold_Standard_June_2021_gssvL48488)	17p11.2	chr17:18456476-18473409	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46700	17p11.2 population region (DGV_Gold_Standard_June_2021_gssvL48476)	17p11.2	chr17:18515275-18561800	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46699	17p11.2 population region (DGV_Gold_Standard_June_2021_gssvL48375)	17p11.2	chr17:16808292-16821367	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46698	17q12 population region (DGV_Gold_Standard_June_2021_gssvL49126)	17q12	chr17:36182399-36224174	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46697	17q21.2 population region (DGV_Gold_Standard_June_2021_gssvL49379)	17q21.2	chr17:41227065-41240192	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46696	17q21.2 population region (DGV_Gold_Standard_June_2021_gssvL49386)	17q21.2	chr17:41272898-41277342	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46695	17q21.2 population region (DGV_Gold_Standard_June_2021_gssvL49384)	17q21.2	chr17:41266736-41274275	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46694	17q21.2 population region (DGV_Gold_Standard_June_2021_gssvL49383)	17q21.2	chr17:41228039-41236306	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46693	16q23.1 population region (DGV_Gold_Standard_June_2021_gssvG15270)	16q23.1	chr16:74354039-74425264	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46692	16q22.2 population region (DGV_Gold_Standard_June_2021_gssvG15245)	16q22.2	chr16:72054616-72082165	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46691	16p12.2 population region (DGV_Gold_Standard_June_2021_gssvG14372)	16p12.2	chr16:21500755-21584256	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46690	16p13.3 population region (DGV_Gold_Standard_June_2021_gssvL41949)	16p13.3	chr16:1239936-1245279	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46689	16p12.1 population region (DGV_Gold_Standard_June_2021_gssvL43366)	16p12.1	chr16:25054825-25126057	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46688	15q11.2 population region (DGV_Gold_Standard_June_2021_gssvG12359)	15q11.2	chr15:20939772-20958971	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46687	15q13.2 population region (DGV_Gold_Standard_June_2021_gssvG12633)	15q13.2	chr15:30195894-30503867	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46686	15q11.2 population region (DGV_Gold_Standard_June_2021_gssvG12224)	15q11.2	chr15:20183488-22002386	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46685	14q32.33 population region (DGV_Gold_Standard_June_2021_gssvG12150)	14q32.33	chr14:106349168-106358775	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46684	14q32.33 population region (DGV_Gold_Standard_June_2021_gssvG12133)	14q32.33	chr14:106691149-106708515	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46683	14q32.33 population region (DGV_Gold_Standard_June_2021_gssvG12117)	14q32.33	chr14:106370520-106394986	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46682	14q32.33 population region (DGV_Gold_Standard_June_2021_gssvG12097)	14q32.33	chr14:105651840-105679437	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46681	14q11.2 population region (DGV_Gold_Standard_June_2021_gssvG10899)	14q11.2	chr14:18685852-18693371	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46680	14q11.2 population region (DGV_Gold_Standard_June_2021_gssvG10827)	14q11.2	chr14:19867377-19955139	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46679	14q11.2 population region (DGV_Gold_Standard_June_2021_gssvG10817)	14q11.2	chr14:19722070-19958650	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46678	14q11.2 population region (DGV_Gold_Standard_June_2021_gssvL33520)	14q11.2	chr14:19722540-19957072	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46677	14q11.2 population region (DGV_Gold_Standard_June_2021_gssvL33589)	14q11.2	chr14:18685827-18693395	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46676	14q13.2 population region (DGV_Gold_Standard_June_2021_gssvL34350)	14q13.2	chr14:35136190-35146114	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46675	14q11.2 population region (DGV_Gold_Standard_June_2021_gssvG10810)	14q11.2	chr14:19010800-19832182	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46674	14q32.33 population region (DGV_Gold_Standard_June_2021_gssvL37239)	14q32.33	tbd	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46673	14q32.33 population region (DGV_Gold_Standard_June_2021_gssvL37313)	14q32.33	chr14:106717601-106728149	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46672	13q12.11 population region (DGV_Gold_Standard_June_2021_gssvG9718)	13q12.11	chr13:20960774-20966984	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46671	13q21.33 population region (DGV_Gold_Standard_June_2021_gssvL31119)	13q21.33	chr13:71902850-71915649	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46670	13q21.1 population region (DGV_Gold_Standard_June_2021_gssvL30434)	13q21.1	chr13:57194374-57212808	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46669	12p13.31 population region (DGV_Gold_Standard_June_2021_gssvG7850)	12p13.31	chr12:8208926-8239193	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46668	12p13.31 population region (DGV_Gold_Standard_June_2021_gssvG7792)	12p13.31	chr12:8405494-8443619	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46667	12p13.2 population region (DGV_Gold_Standard_June_2021_gssvL23179)	12p13.2	chr12:10428652-10444444	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46666	12q23.3 population region (DGV_Gold_Standard_June_2021_gssvL26928)	12q23.3	chr12:104975237-104980402	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46665	12p11.1 population region (DGV_Gold_Standard_June_2021_gssvL24290)	12p11.1	chr12:34202958-34208608	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46664	12p11.23 population region (DGV_Gold_Standard_June_2021_gssvL23860)	12p11.23	chr12:27495007-27501798	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46663	12p13.2 population region (DGV_Gold_Standard_June_2021_gssvL23231)	12p13.2	chr12:11072385-11088297	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46662	12p13.2 population region (DGV_Gold_Standard_June_2021_gssvL23228)	12p13.2	chr12:11074482-11098540	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46661	12p13.2 population region (DGV_Gold_Standard_June_2021_gssvL23223)	12p13.2	chr12:11039082-11065026	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-04		
ISCA-46660	11q12.2 population region (DGV_Gold_Standard_June_2021_gssvG6800)	11q12.2	chr11:61198674-61252927	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-04		
ISCA-46659	11p14.1 population region (DGV_Gold_Standard_June_2021_gssvG6305)	11p14.1	chr11:28985603-28990540	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-05		
ISCA-46658	11p15.1 population region (DGV_Gold_Standard_June_2021_gssvG6192)	11p15.1	chr11:18918658-18942110	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-05		
ISCA-46657	11p15.4 population region (DGV_Gold_Standard_June_2021_gssvG5957)	11p15.4	chr11:4234735-4257233	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-05		
ISCA-46656	11p15.4 population region (DGV_Gold_Standard_June_2021_gssvG5919)	11p15.4	chr11:3218081-3339758	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-05		
ISCA-46655	11p15.4 population region (DGV_Gold_Standard_June_2021_gssvL16784)	11p15.4	chr11:4947458-4959002	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46654	11p15.4 population region (DGV_Gold_Standard_June_2021_gssvL16737)	11p15.4	chr11:4234219-4256896	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46653	11p15.4 population region (DGV_Gold_Standard_June_2021_gssvL16732)	11p15.4	chr11:4242862-4288500	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46652	11p15.5 population region (DGV_Gold_Standard_June_2021_gssvL16511)	11p15.5	chr11:1894015-1915772	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46651	11p15.1 population region (DGV_Gold_Standard_June_2021_gssvL17400)	11p15.1	chr11:18920312-18943051	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46650	11p15.4 population region (DGV_Gold_Standard_June_2021_gssvL16961)	11p15.4	chr11:7788205-7813338	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46649	11p15.4 population region (DGV_Gold_Standard_June_2021_gssvL16881)	11p15.4	chr11:5852754-5862269	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46648	11q22.2 population region (DGV_Gold_Standard_June_2021_gssvL21098)	11q22.2	chr11:102880376-102882132	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46647	11q13.4 population region (DGV_Gold_Standard_June_2021_gssvL19865)	11q13.4	chr11:72139602-72178286	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46646	11q11 population region (DGV_Gold_Standard_June_2021_gssvL19045)	11q11	chr11:55666777-55676508	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46645	11q11 population region (DGV_Gold_Standard_June_2021_gssvL19042)	11q11	chr11:55678233-55690300	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46644	10q22.1 population region (DGV_Gold_Standard_June_2021_gssvL13249)	10q22.1	chr10:69523150-69531336	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46643	10q22.1 population region (DGV_Gold_Standard_June_2021_gssvL13247)	10q22.1	chr10:69521059-69531547	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46642	10q11.22 population region (DGV_Gold_Standard_June_2021_gssvL12112)	10q11.22	chr10:47502722-47586882	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46641	10q11.23 population region (DGV_Gold_Standard_June_2021_gssvL12109)	10q11.23	chr10:50101946-50240976	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46640	10q11.22 population region (DGV_Gold_Standard_June_2021_gssvL12105)	10q11.22	chr10:47074765-47282602	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46639	10q11.22 population region (DGV_Gold_Standard_June_2021_gssvG4512)	10q11.22	chr10:46160527-46226532	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-05		
ISCA-46638	10p12.1 population region (DGV_Gold_Standard_June_2021_gssvL11273)	10p12.1	chr10:27349327-27353251	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46637	10p13 population region (DGV_Gold_Standard_June_2021_gssvL10668)	10p13	chr10:13217247-13218742	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46636	9q32 population region (DGV_Gold_Standard_June_2021_gssvG40321)	9q32	chr9:114316520-114335867	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-05		
ISCA-46635	9p11.2 population region (DGV_Gold_Standard_June_2021_gssvG38779)	9p11.2	chr9:42606667-43163949	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-05		
ISCA-46634	9p12 population region (DGV_Gold_Standard_June_2021_gssvL130637)	9p12	chr9:61230528-61334753	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46633	9p12 population region (DGV_Gold_Standard_June_2021_gssvL130619)	9p12	chr9:66946498-67116738	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46632	9q31.1 population region (DGV_Gold_Standard_June_2021_gssvL132495)	9q31.1	chr9:104600434-104606341	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46631	8p23.1 population region (DGV_Gold_Standard_June_2021_gssvG36644)	8p23.1	chr8:7355060-7369899	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-05		
ISCA-46630	8p23.1 population region (DGV_Gold_Standard_June_2021_gssvG36608)	8p23.1	chr8:6971214-7020634	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-05		
ISCA-46629	8p23.1 population region (DGV_Gold_Standard_June_2021_gssvG36607)	8p23.1	chr8:7253423-7300285	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-05		
ISCA-46628	7q36.1 population region (DGV_Gold_Standard_June_2021_gssvL119849)	7q36.1	chr7:150589058-150610821	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46627	7q35 population region (DGV_Gold_Standard_June_2021_gssvL119429)	7q35	chr7:144183522-144378826	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46626	7q35 population region (DGV_Gold_Standard_June_2021_gssvG35898)	7q35	chr7:144187118-144233372	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-05		
ISCA-46625	7q22.1 population region (DGV_Gold_Standard_June_2021_gssvL117874)	7q22.1	chr7:102328550-102381792	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46624	7q34 population region (DGV_Gold_Standard_June_2021_gssvL119381)	7q34	chr7:142753425-142767072	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46623	7q34 population region (DGV_Gold_Standard_June_2021_gssvL119380)	7q34	chr7:142752325-142774385	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46622	7q34 population region (DGV_Gold_Standard_June_2021_gssvL119369)	7q34	tbd	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46621	7q34 population region (DGV_Gold_Standard_June_2021_gssvL119360)	7q34	tbd	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46620	7q11.23 population region (DGV_Gold_Standard_June_2021_gssvL116711)	7q11.23	chr7:74963584-75065983	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46619	7q11.21 population region (DGV_Gold_Standard_June_2021_gssvL116036)	7q11.21	chr7:63502788-63519014	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46618	7q11.21 population region (DGV_Gold_Standard_June_2021_gssvL115987)	7q11.21	chr7:63226937-63263270	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46617	7p11.2 population region (DGV_Gold_Standard_June_2021_gssvL115697)	7p11.2	chr7:56995057-57020978	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46616	7p14.1 population region (DGV_Gold_Standard_June_2021_gssvL115094)	7p14.1	chr7:38346962-38358142	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46615	7p22.1 population region (DGV_Gold_Standard_June_2021_gssvL113541)	7p22.1	chr7:6861142-6883612	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46614	6q13 population region (DGV_Gold_Standard_June_2021_gssvG32691)	6q13	chr6:73999168-74007298	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-05		
ISCA-46613	6q13 population region (DGV_Gold_Standard_June_2021_gssvG32688)	6q13	chr6:73998109-74008782	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-05		
ISCA-46612	6p25.3 population region (DGV_Gold_Standard_June_2021_gssvL104460)	6p25.3	chr6:83824-202184	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46611	6p21.32 population region (DGV_Gold_Standard_June_2021_gssvL106271)	6p21.32	chr6:32659773-32680646	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46610	6p21.32 population region (DGV_Gold_Standard_June_2021_gssvL106269)	6p21.32	chr6:32549059-32573916	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46609	6p21.32 population region (DGV_Gold_Standard_June_2021_gssvL106264)	6p21.32	chr6:32508079-32546462	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46608	6p22.1 population region (DGV_Gold_Standard_June_2021_gssvL105927)	6p22.1	chr6:29869423-29881496	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46607	6p22.1 population region (DGV_Gold_Standard_June_2021_gssvL105924)	6p22.1	chr6:29924783-29938057	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46605	5q13.2 population region (DGV_Gold_Standard_June_2021_gssvG30124)	5q13.2	chr5:70020257-70047833	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-05		
ISCA-46604	5p15.33 population region (DGV_Gold_Standard_June_2021_gssvG29169)	5p15.33	chr5:814331-825252	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-05		
ISCA-46602	5q22.1 population region (DGV_Gold_Standard_June_2021_gssvL101506)	5q22.1	chr5:111570233-111575342	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46601	5q35.3 population region (DGV_Gold_Standard_June_2021_gssvL104429)	5q35.3	chr5:181164001-181169624	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-05		
ISCA-46600	5q35.3 population region (DGV_Gold_Standard_June_2021_gssvL104164)	5q35.3	chr5:178921351-178926193	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46599	5q31.3 population region (DGV_Gold_Standard_June_2021_gssvL102648)	5q31.3	chr5:140717182-140724468	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46598	4p11 population region (DGV_Gold_Standard_June_2021_gssvG27527)	4p11	chr4:49487225-49522795	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-06		
ISCA-46597	4p16.1 population region (DGV_Gold_Standard_June_2021_gssvG27165)	4p16.1	chr4:9416271-9455642	0	No evidence available							40	Dosage sensitivity unlikely							2021-08-06		
ISCA-46596	4p16.1 population region (DGV_Gold_Standard_June_2021_gssvL88361)	4p16.1	chr4:9485260-9514441	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46595	4p11 population region (DGV_Gold_Standard_June_2021_gssvL90109)	4p11	chr4:49175172-49247858	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
ISCA-46594	4q13.2 population region (DGV_Gold_Standard_June_2021_gssvL90978)	4q13.2	chr4:69269114-69404673	40	Dosage sensitivity unlikely							0	No evidence available							2021-08-06		
