#ClinGen Gene Curation Results
#24 Nov,2021
#Genomic Locations are reported on GRCh37 (hg19): GCF_000001405.13
#https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen
#to create link: https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=Gene Symbol
#Gene Symbol	Gene ID	cytoBand	Genomic Location	Haploinsufficiency Score	Haploinsufficiency Description	Haploinsufficiency PMID1	Haploinsufficiency PMID2	Haploinsufficiency PMID3	Haploinsufficiency PMID4	Haploinsufficiency PMID5	Haploinsufficiency PMID6	Triplosensitivity Score	Triplosensitivity Description	Triplosensitivity PMID1	Triplosensitivity PMID2	Triplosensitivity PMID3	Triplosensitivity PMID4	Triplosensitivity PMID5	Triplosensitivity PMID6	Date Last Evaluated	Loss phenotype OMIM ID	Triplosensitive phenotype OMIM ID
ALG6	29929	1p31.3	chr1:63833261-63904233	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	603147	
ALK	238	2p23.2-p23.1	chr2:29415640-30144477	0	No evidence available							0	No evidence available							2019-12-20		
ALMS1	7840	2p13.1	chr2:73612886-73837046	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	203800	
ALS2	57679	2q33.1	chr2:202564986-202645895	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	203800	
ALX4	60529	11p11.2	chr11:44282278-44331716	3	Sufficient evidence for dosage pathogenicity	11137991	11106354	16319823				0	No evidence available							2020-07-22	609597	
AMH	268	19p13.3	chr19:2249278-2252072	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	261550	
AMN	81693	14q32.32	chr14:103388993-103397179	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	261100	
ANGPTL3	27329	1p31.3	chr1:63063158-63071976	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	605019	
ANK2	287	4q25-q26	chr4:113739239-114304896	3	Sufficient evidence for dosage pathogenicity	25363760	22542183	25363768				0	No evidence available							2019-05-22		
ANKRD11	29123	16q24.3	chr16:89334029-89556969	3	Sufficient evidence for dosage pathogenicity	21782149	23494856	21654729				0	No evidence available							2013-06-20	148050	
ANKRD26	22852	10p12.1	chr10:27293045-27389427	0	No evidence available							0	No evidence available							2021-04-14		
ANKS6	203286	9q22.33	chr9:101494291-101558824	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	615382	
ANOS1	3730	Xp22.31	chrX:8496915-8700228	3	Sufficient evidence for dosage pathogenicity	28122887	12050219	24232061	21717404	25328414	18463157	0	No evidence available	18657637						2021-05-26	308700	
ANTXR2	118429	4q21.21	chr4:80822771-80994626	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	228600	
AP1S2	8905	Xp22.2	chrX:15843929-15873137	3	Sufficient evidence for dosage pathogenicity	17186471	17617514	18428203	23756445	30383884	25649377	0	No evidence available							2021-04-28	304340	
AP4B1	10717	1p13.2	chr1:114436816-114447746	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	614066	
AP4S1	11154	14q12	chr14:31494312-31565656	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	614067	
APC	324	5q22.2	chr5:112043202-112181936	3	Sufficient evidence for dosage pathogenicity	1651174	10051640	23159591				0	No evidence available							2021-07-18		
APOB	338	2p24.1	chr2:21224301-21266945	3	Sufficient evidence for dosage pathogenicity	27179706	1527480	2843815				0	No evidence available							2020-04-09	615558	
APOC2	344	19q13.32	chr19:45449239-45452822	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	207750	
APP	351	21q21.3	chr21:27252861-27543446	0	No evidence available							2	Some evidence for dosage pathogenicity	16921174						2012-07-06		
AR	367	Xq12	chrX:66763874-66950461	3	Sufficient evidence for dosage pathogenicity	22334387	27994190	30742848				0	No evidence available							2020-12-08		
ARCN1	372	11q23.3	chr11:118443102-118473748	2	Some evidence for dosage pathogenicity	27476655						0	No evidence available							2017-08-08	617164	
ARFGEF2	10564	20q13.13	chr20:47538275-47653230	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	608097	
ARG1	383	6q23.2	chr6:131894344-131905472	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	207800	
ARHGAP31	57514	3q13.32-q13.33	chr3:119013220-119138323	0	No evidence available							0	No evidence available							2013-07-18		
ARHGEF4	50649	2q21.1	chr2:131674224-131804826	0	No evidence available							0	No evidence available							2018-04-05		
ARHGEF6	9459	Xq26.3	chrX:135747709-135863503	0	No evidence available							0	No evidence available							2012-04-25		
ARID1A	8289	1p36.11	chr1:27022522-27108601	3	Sufficient evidence for dosage pathogenicity	22426308	23929686	23906836				0	No evidence available							2020-05-27	614607	
ARID1B	57492	6q25.3	chr6:157098989-157531913	3	Sufficient evidence for dosage pathogenicity	22426308	21801163	22405089	22426309	26376624	30349098	0	No evidence available							2021-05-26	135900	
ARID2	196528	12q12	chr12:46123492-46301823	3	Sufficient evidence for dosage pathogenicity	29698805	26238514	28124119				0	No evidence available							2019-06-26	617808	
ARL6	84100	3q11.2	chr3:97483365-97520086	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	600151	
ARL6IP1	23204	16p12.3	chr16:18802989-18813000	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	615685	
ARSA	410	22q13.33	chr22:51061182-51066601	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-09-05	250100	
ARSD	414	Xp22.33	chrX:2822011-2847416	0	No evidence available							0	No evidence available							2016-07-21		
ARSL	415	Xp22.33	chrX:2852673-2886351	3	Sufficient evidence for dosage pathogenicity	12567415	18348268					0	No evidence available							2012-07-12	302950	
ARX	170302	Xp21.3	chrX:25021811-25034065	3	Sufficient evidence for dosage pathogenicity	12379852	14722918					0	No evidence available							2019-12-05	300215	
ASAH1	427	8p22	chr8:17913808-17942507	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2017-09-11		
ASH1L	55870	1q22	chr1:155305052-155532324	3	Sufficient evidence for dosage pathogenicity	28191889	25363760	28263302				0	No evidence available							2017-12-27		
ASL	435	7q11.21	chr7:65540776-65558330	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	207900	
ASPA	443	17p13.2	chr17:3377404-3402700	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	271900	
ASPH	444	8q12.3	chr8:62413115-62627199	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	601552	
ASPM	259266	1q31.3	chr1:197053257-197115824	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	608716	
ASTN2	23245	9q33.1	chr9:119187504-120177317	1	Little evidence for dosage pathogenicity	24381304	32094338	21832240	19809473	18940311	30242134	0	No evidence available							2021-03-09		
ASXL1	171023	20q11.21	chr20:30946147-31027122	3	Sufficient evidence for dosage pathogenicity	21706002	22419483					0	No evidence available							2013-03-14	605039	
ASXL2	55252	2p23.3	chr2:25962253-26101312	0	No evidence available							0	No evidence available							2018-06-28		
ASXL3	80816	18q12.1	chr18:31158541-31331158	3	Sufficient evidence for dosage pathogenicity	23383720	26647312	27901041				0	No evidence available							2017-11-22	615485	
ATCAY	85300	19p13.3	chr19:3880618-3928080	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	601238	
ATF6	22926	1q23.3	chr1:161736034-161933860	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2017-01-12	616517	
ATM	472	11q22.3	chr11:108093559-108239826	3	Sufficient evidence for dosage pathogenicity	3574400	27595995	15928302				0	No evidence available							2020-04-08	208900	
ATP10A	57194	15q12	chr15:25923859-26108349	0	No evidence available							0	No evidence available							2012-04-24		
ATP13A2	23400	1p36.13	chr1:17312453-17338467	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	606693	
ATP2A1	487	16p11.2	chr16:28889809-28915830	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	601003	
ATP2C2	9914	16q24.1	chr16:84402129-84497793	0	No evidence available	25296922						0	No evidence available							2018-09-17		
ATP6AP2	10159	Xp11.4	chrX:40440216-40465889	0	No evidence available							0	No evidence available							2012-10-31		
ATP6V0A2	23545	12q24.31	chr12:124196865-124246302	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	219200	
ATP6V0A4	50617	7q34	chr7:138391039-138482941	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	602722	
ATP6V1E1	529	22q11.21	chr22:18074902-18111588	0	No evidence available							0	No evidence available							2012-04-26		
ATP7A	538	Xq21.1	chrX:77166153-77305892	3	Sufficient evidence for dosage pathogenicity	14635105	32994893					0	No evidence available							2021-03-24	309400	
ATP7B	540	13q14.3	chr13:52506805-52585630	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2017-01-12	277900	
ATP8A2	51761	13q12.13	chr13:25946149-26599989	1	Little evidence for dosage pathogenicity	20683487						0	No evidence available							2014-10-10		
ATPAF2	91647	17p11.2	chr17:17921334-17942480	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	604273	
ATR	545	3q23	chr3:142168077-142297668	1	Little evidence for dosage pathogenicity	30159786	26556299	29439820				0	No evidence available							2020-06-05	614564	
ATRX	546	Xq21.1	chrX:76760356-77041755	3	Sufficient evidence for dosage pathogenicity	7697714						0	No evidence available							2012-07-31	301040	
AUTS2	26053	7q11.22	chr7:69063905-70258054	3	Sufficient evidence for dosage pathogenicity	22872102	23332918	23650183				0	No evidence available							2020-06-24	615834	
AVPR2	554	Xq28	chrX:153167985-153172620	3	Sufficient evidence for dosage pathogenicity	10820168	23150186	29594432				0	No evidence available							2021-02-01	304800	
B3GALNT2	148789	1q42.3	chr1:235610505-235667781	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	615181	
B3GALT6	126792	1p36.33	chr1:1167629-1170421	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22		
B4GALT1	2683	9p21.1	chr9:33110639-33167356	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	607091	
B4GALT7	11285	5q35.3	chr5:177027119-177037348	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	130070	
B9D1	27077	17p11.2	chr17:19238685-19281506	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	617120	
BAG3	9531	10q26.11	chr10:121410882-121437331	3	Sufficient evidence for dosage pathogenicity	21353195	25008357	21459883				0	No evidence available							2015-02-12		
BAP1	8314	3p21.1	chr3:52435020-52444121	3	Sufficient evidence for dosage pathogenicity	21874000	21941004	21874003				0	No evidence available							2019-12-27	614327	
BARD1	580	2q35	chr2:215590370-215674435	3	Sufficient evidence for dosage pathogenicity	20077502	20842729	21344236; 25994375				0	No evidence available							2020-05-01	114480	
BBS12	166379	4q27	chr4:123653857-123666098	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	615989	
BBS5	129880	2q31.1	chr2:170336006-170363165	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-10-11	615983	
BBS7	55212	4q27	chr4:122745484-122791652	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	615984	
BCHE	590	3q26.1	chr3:165490691-165555260	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	617936	
BCKDHB	594	6q14.1	chr6:80816327-81055987	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	248600	
BCKDK	10295	16p11.2	chr16:31119615-31124112	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	614923	
BCL11A	53335	2p16.1	chr2:60678302-60780633	3	Sufficient evidence for dosage pathogenicity	27453576	25938782	25979662				0	No evidence available							2017-04-13		
BCL2L11	10018	2q13	chr2:111878491-111926022	0	No evidence available							0	No evidence available							2018-06-21		
BCLAF1	9774	6q23.3	chr6:136578001-136610989	1	Little evidence for dosage pathogenicity	28263302	25262651					0	No evidence available							2018-06-28		
BCOR	54880	Xp11.4	chrX:39910499-40036582	3	Sufficient evidence for dosage pathogenicity	19367324	15770227					0	No evidence available							2012-10-04	300166	
BCR	613	22q11.23	chr22:23522552-23660224	0	No evidence available							0	No evidence available							2012-07-10		
BCS1L	617	2q35	chr2:219524379-219528166	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	262000	
BIN1	274	2q14.3	chr2:127805599-127864903	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	255200	
BLM	641	15q26.1	chr15:91260558-91358692	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	210900	
BLNK	29760	10q24.1	chr10:97951455-98031333	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	613502	
BMP4	652	14q22.2	chr14:54416454-54423609	2	Some evidence for dosage pathogenicity	21340693	18252212	31053785				0	No evidence available							2021-11-09		
BMPER	168667	7p14.3	chr7:33944523-34195484	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	608022	
BMPR1A	657	10q23.2	chr10:88516396-88684945	3	Sufficient evidence for dosage pathogenicity	11381269	15235019	23399955				0	No evidence available							2020-06-24	174900	
BMPR2	659	2q33.1-q33.2	chr2:203241050-203432474	3	Sufficient evidence for dosage pathogenicity	10903931	11015450					0	No evidence available							2020-08-26	178600	
BPHL	670	6p25.2	chr6:3118610-3153432	40	Dosage sensitivity unlikely	32487729	22344438	28406212	32461654			0	No evidence available							2021-02-02		
BPNT2	54928	8q12.1	chr8:57870488-57906430	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	614078	
BPY2	9083	Yq11.223	chrY:25130410-25151612	0	No evidence available							0	No evidence available							2012-08-22		
BRAF	673	7q34	chr7:140433812-140624564	1	Little evidence for dosage pathogenicity	21862832						0	No evidence available							2014-08-04		
BRAT1	221927	7p22.3	chr7:2577444-2595392	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	614498	
BRCA1	672	17q21.31	chr17:41196312-41277500	3	Sufficient evidence for dosage pathogenicity	32375709	21989022	11802209	24312913			0	No evidence available							2021-09-23	604370	
BRCA2	675	13q13.1	chr13:32889617-32973809	3	Sufficient evidence for dosage pathogenicity	16199546	17063271	25632310	12097290	11897832	12569143	0	No evidence available							2021-07-14	612555	
BRIP1	83990	17q23.2	chr17:59756547-59940920	3	Sufficient evidence for dosage pathogenicity	29368626	26720728	26315354				0	No evidence available							2019-02-15	114480	
BRWD3	254065	Xq21.1	chrX:79924987-80065233	2	Some evidence for dosage pathogenicity	17668385						0	No evidence available							2012-04-25	300659	
BSND	7809	1p32.3	chr1:55464617-55474465	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-05-17	602522	
BTD	686	3p25.1	chr3:15642859-15689145	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2015-05-21	253260	
BTK	695	Xq22.1	chrX:100604435-100645784	3	Sufficient evidence for dosage pathogenicity	16159644	27512878	32169379				0	No evidence available							2021-03-24	300755	
C19orf12	83636	19q12	chr19:30189793-30206696	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22		
C1QB	713	1p36.12	chr1:22979474-22988130	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2017-01-17	613652	
C8orf37	157657	8q22.1	chr8:96257141-96281462	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	614500	
CA12	771	15q22.2	chr15:63613577-63674365	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	143860	
CA5A	763	16q24.2	chr16:87921625-87970112	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	615751	
CA8	767	8q12.1	chr8:61097979-61193982	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	613227	
CABP2	51475	11q13.2	chr11:67286418-67290899	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2021-08-20	614899	
CABP4	57010	11q13.2	chr11:67219886-67229245	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	610427	
CACNA1A	773	19p13.13	chr19:13317256-13617274	3	Sufficient evidence for dosage pathogenicity	19586927	21927611	25735478				0	No evidence available							2017-05-21	108500	
CACNA1C	775	12p13.33	chr12:2162416-2807115	1	Little evidence for dosage pathogenicity							0	No evidence available							2016-03-24		
CACNA1S	779	1q32.1	chr1:201008640-201081694	0	No evidence available							0	No evidence available							2016-01-18		
CADPS2	93664	7q31.32	chr7:121958478-122526813	0	No evidence available							0	No evidence available							2012-07-10		
CAMK2A	815	5q32	chr5:149599054-149669403	1	Little evidence for dosage pathogenicity	29100089	29560374					0	No evidence available							2019-09-04	617798	
CAMK2B	816	7p13	chr7:44256749-44365230	2	Some evidence for dosage pathogenicity	29100089						0	No evidence available							2018-06-28	617799	
CAMTA1	23261	1p36.31-p36.23	chr1:6845384-7829766	3	Sufficient evidence for dosage pathogenicity	22693284	24738973					0	No evidence available							2017-12-14	614756	
CANT1	124583	17q25.3	chr17:76987798-77005899	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	251450	
CAPN3	825	15q15.1	chr15:42651698-42704515	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2016-08-22	253600	
CARD14	79092	17q25.3	chr17:78143791-78183130	0	No evidence available							0	No evidence available							2013-08-01		
CASP10	843	2q33.1	chr2:202047604-202094129	1	Little evidence for dosage pathogenicity	21382177						0	No evidence available							2020-04-10		
CASQ2	845	1p13.1	chr1:116242624-116311426	30	Gene associated with autosomal recessive phenotype							Not yet evaluated	Not yet evaluated							2016-08-22	611938	
CASR	846	3q13.33-q21.1	chr3:121902530-122005344	0	No evidence available							0	No evidence available							2012-03-02		
CASZ1	54897	1p36.22	chr1:10696661-10856733	1	Little evidence for dosage pathogenicity	8263302						0	No evidence available							2019-04-25		
CATSPER2	117155	15q15.3	chr15:43922760-43941043	30	Gene associated with autosomal recessive phenotype							0	No evidence available							2012-09-20		
CBFB	865	16q22.1	chr16:67063050-67134961	0	No evidence available							0	No evidence available							2012-02-22		
CBL	867	11q23.3	chr11:119076986-119178859	0	No evidence available							0	No evidence available							2019-04-24	613563	
CBS	875	21q22.3	chr21:44473301-44496971	30	Gene associated with autosomal recessive phenotype							0	No evidence available	11391481						2016-08-22	236200	
