Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ATM	gene	ATM	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Ataxia-telangiectasia, OMIM:208900;Combined immunodeficiencies with associated or syndromic features;Ataxia, telangiectasia, pulmonary infections, lymphoreticular and other malignancies, increased alpha fetoprotein, increased radiosensitivity, chromosomal instability and chromosomal translocations				27884168;2005780;2136770;7792600;27421701		False	3	100;0;0	2.465	False		ENSG00000149311	ENSG00000149311	HGNC:795													
ATP6AP1	gene	ATP6AP1	Expert Review Green;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH	Primary immunodeficiency			X-LINKED: hemizygous mutation in males, biallelic mutations in females	Immunodeficiency 47, 300972;Hepatopathy, leukopenia, low copper;Predominantly Antibody Deficiencies;Immunodeficiency and hepatopathy with or without neurologic features				27231034		False	3	100;0;0	2.465	False		ENSG00000071553	ENSG00000071553	HGNC:868													
B2M	gene	B2M	Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Immunodeficiency 43,241600;Immunodeficiency by defective expression of HLA class 1;Sinopulmonary infections, cutaneous granulomas. Absent _2m associated proteins MHC-I, CD1a, CD1b, CD1c;Immunodeficiencies affecting cellular and humoral immunity				25702838;4186801		False	3	100;0;0	2.465	False		ENSG00000166710	ENSG00000166710	HGNC:914													
BACH2	gene	BACH2	Expert Review Green;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Lymphocytic colitis, sinopulmonary infections;Diseases of Immune Dysregulation;infantile onset enterocolitis;hypogammaglobulinaemia;BACH2-related immunodeficiency and autoimmunity (BRIDA)				27680876;28530713;27807919;30527062		False	3	100;0;0	2.465	False		ENSG00000112182	ENSG00000112182	HGNC:14078													
BLM	gene	BLM	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Bloom syndrome, 210900;Immunodeficiency;Short stature, dysmorphic facies, sun-sensitive erythema, marrow failure, leukemia, lymphoma, chromosomal instability;Combined immunodeficiencies with associated or syndromic features				7585968;8231788;9482582;9285778;17407155		False	3	100;0;0	2.465	False		ENSG00000197299	ENSG00000197299	HGNC:1058													
BLNK	gene	BLNK	A- or hypo-gammaglobulinaemia v1.25;ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Agammaglobulinemia 4, 613502;agammaglobulinaemia with absent B cells;Agammaglobulinemia 4;Agammaglobulinemia;Severe bacterial infections, normal numbers of pro-B cells;Predominantly Antibody Deficiencies				10583958;19302039;24582315;25893637		False	3	100;0;0	2.465	False		ENSG00000095585	ENSG00000095585	HGNC:14211													
BTK	gene	BTK	A- or hypo-gammaglobulinaemia v1.25;ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			X-LINKED: hemizygous mutation in males, biallelic mutations in females	Agammaglobulinemia and isolated hormone deficiency;Agammaglobulinemia, X-linked;Agammaglobulinemia, X-linked 1, 300755;Agammaglobulinemia and isolated hormone deficiency, 307200;Agammaglobulinemia, X-linked 1 (XLA);Agammaglobulinemia;agammaglobulinaemia;CVID;Severe bacterial infections, normal numbers of pro-B cells;Predominantly Antibody Deficiencies				20301626		False	3	100;0;0	2.465	False		ENSG00000010671	ENSG00000010671	HGNC:1133													
C1QA	gene	C1QA	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	C1q deficiency, 613652;Complement component 1 deficiency;Immunodeficiency due to a classical component pathway complement deficiency;SLE, infections with encapsulated organisms;Complement Deficiencies				25133636;8840296;21654842;28601358;26032012;7594474;28601358		False	3	100;0;0	2.465	False		ENSG00000173372	ENSG00000173372	HGNC:1241													
C1QB	gene	C1QB	ESID Registry 20171117;Expert Review Green;GRID V2.0;Inherited complement deficiency v0.11;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Immunodeficiency due to an early component of complement deficiency, 613652;C1q deficiency;Complement component 1 deficiency;SLE;lupus-like disease;susceptibility to invasive bacterial infection;SLE, infections with encapsulated organisms;Complement Deficiencies				9476130;17513176;2894352;23651859;24160257;25454803;12133956		False	3	100;0;0	2.465	False		ENSG00000173369	ENSG00000173369	HGNC:1242													
C1QC	gene	C1QC	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	C1q deficiency, 613652;Complement component 1 deficiency;Immunodeficiency due to a classical component pathway complement deficiency;SLE, infections with encapsulated organisms;Complement Deficiencies				8630118;21654842;7900940;24157463;8630118		False	3	100;0;0	2.465	False		ENSG00000159189	ENSG00000159189	HGNC:1245													
C1R	gene	C1R	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	C1r/C1s deficiency, combined, Lupus;Complement component 1 deficiency;Immunodeficiency due to a classical component pathway complement deficiency;SLE;pyogenic infections;SLE, infections with encapsulated organisms, Ehlers Danlos phenotype;Complement Deficiencies				28544690;21784777;27745832;29795138;28711143		False	3	75;25;0	2.465	False		ENSG00000159403	ENSG00000159403	HGNC:1246													
C1S	gene	C1S	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	C1s deficiency, 613783;C1s deficiency, Lupus;Complement component 1 deficiency;SLE;pyogenic infections;SLE, infections with encapsulated organisms, Ehlers Danlos phenotype;Complement Deficiencies				27745832;11390518;20727163;9856483		False	3	75;25;0	2.465	False		ENSG00000182326	ENSG00000182326	HGNC:1247													
C2	gene	C2	ESID Registry 20171117;Expert Review Green;GRID V2.0;Inherited complement deficiency v0.11;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Complement Component C2 Deficiency;C2 deficiency, 217000;Immunodeficiency due to C1, C4, or C2 component complement deficiency;Lupus;SLE, infections with encapsulated organisms, atherosclerosis;Complement Deficiencies				1577763;8621452;11079100;15643297;7901282		False	3	100;0;0	2.465	False		ENSG00000166278	ENSG00000166278	HGNC:1248													
C3	gene	C3	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	C3 deficiency, 613779;Complement component 3 deficiency;Infections, glomerulonephritis, atypical hemolytic-uremic syndrome with GOF mutations;Atypical hemolytic-uremic syndrome, dense deposit disease;Complement Deficiencies				15781264;1350678;1976733;4117597		False	3	100;0;0	2.465	False		ENSG00000125730	ENSG00000125730	HGNC:1318													
C4A	gene	C4A	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	C4a deficiency, 614380;Complement component 4 deficiency;Immunodeficiency due to a classical component pathway complement deficiency;SLE predisposition;infections with encapsulated organisms;SLE, infections with encapsulated organisms , partial deficiency is common (either C4A or C4B) and appears to have a modest effect on host defense;Complement Deficiencies				15294999;2295875;22482068		False	3	100;0;0	2.465	False		ENSG00000244731	ENSG00000244731	HGNC:1323													
C4B	gene	C4B	Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	C4B deficiency, 614379;SLE predisposition;SLE, infections with encapsulated organisms , partial deficiency is common (either C4A or C4B) and appears to have a modest effect on host defense;Complement Deficiencies				2355198;12626442;2788199;19062096;1569346		False	3	100;0;0	2.465	False		ENSG00000224389	ENSG00000224389	HGNC:1324													
C5	gene	C5	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	C5 deficiency, 609536;Complement component 5 deficiency;Susceptibility to invasive bacterial infection, especially meningococcal;Disseminated neisserial infections;Complement Deficiencies				7730648;19375167;25534848		False	3	100;0;0	2.465	False		ENSG00000106804	ENSG00000106804	HGNC:1331													
C6	gene	C6	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	C6 deficiency, 612446;Complement component 6 deficiency;Susceptibility to invasive bacterial infection, especially meningococcal;Disseminated neisserial infections;Complement Deficiencies				8690922;9472666;12653841		False	3	100;0;0	2.465	False		ENSG00000039537	ENSG00000039537	HGNC:1339													
C7	gene	C7	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	C7 deficiency, 610102;Complement component 7 deficiency;Susceptibility to invasive bacterial infection, especially meningococcal;Disseminated neisserial infections;Complement Deficiencies				7762578;9844043;16771861;15554930		False	3	100;0;0	2.465	False		ENSG00000112936	ENSG00000112936	HGNC:1346													
C8A	gene	C8A	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	C8 deficiency, type I, 613790;Complement component 8 deficiency;Susceptibility to invasive bacterial infection, especially meningococcal;Disseminated neisserial infections;Complement Deficiencies				9759902		False	3	100;0;0	2.465	False		ENSG00000157131	ENSG00000157131	HGNC:1352													
C8B	gene	C8B	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	C8 deficiency, type II, 613789;Complement component 8 deficiency;Susceptibility to invasive bacterial infection, especially meningococcal;Disseminated neisserial infections;Complement Deficiencies				8098723;27183977;9476133;19434484		False	3	100;0;0	2.465	False		ENSG00000021852	ENSG00000021852	HGNC:1353													
C9	gene	C9	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	C9 deficiency, 613825;Complement component 9 deficiency;Susceptibility to invasive bacterial infection, especially meningococcal;Mild susceptibility to disseminated neisserial infections;Complement Deficiencies				9144525;9634479;9570574;10072634		False	3	100;0;0	2.465	False		ENSG00000113600	ENSG00000113600	HGNC:1358													
CARD11	gene	CARD11	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Immunodeficiency 11A, 615206 (AR);CARD11 deficiency;Predominantly antibody deficiencies;Atypical Severe Combined Immunodeficiency (Atypical SCID);Combined immunodeficiency;Autoimmune lymphoproliferative syndrome (ALPS);B cell expansion with NFKB and T cell anergy (BENTA) (AD), 616452;immunodeficiency 11B with atopic dermatitis (AD), 617638;Severe atopy, recurrent infections;Combined immunodeficiencies with associated or syndromic features;Splenomegaly, lymphadenopathy, poor vaccine response;Predominantly Antibody Deficiencies;Pneumocystis jirovecii pneumonia, bacterial and viral infections;Immunodeficiencies affecting cellular and humoral immunity				29074947;30170123;28628108;23129749;25352053;23374270;23561803;26289640;28826773		False	3	75;25;0	2.465	False	Other - please provide details in the comments	ENSG00000198286	ENSG00000198286	HGNC:16393													
CARD14	gene	CARD14	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	CARD14 mediated psoriasis;Psoriasis 2, 602723;Pityriasis rubra pilaris,173200;Other autoinflammatory diseases with known genetic defect;Psoriasis;Autoinflammatory Disorders;immune dysregulation				22521418;30248356;23648549;29689250;22703878;29980436;23067081;29704870;23711932		False	3	75;25;0	2.465	False		ENSG00000141527	ENSG00000141527	HGNC:16446													
CARD9	gene	CARD9	ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Candidiasis, familial, 2;212050;CARD9 deficiency;Predisposition to invasive fungal disease due to CARD9 deficiency;Invasive candidiasis infection, deep dermatophytoses, other invasive fungal infections;Defects in Intrinsic and Innate Immunity				19864672;23335372;24131138		False	3	100;0;0	2.465	False		ENSG00000187796	ENSG00000187796	HGNC:16391													
CARMIL2	gene	CARMIL2	ESID Registry 20171117;Expert Review Green;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Combined immunodeficiency;warts, molluscum contagiosum, and T cell dysfunction;EBV+ disseminated smooth muscle tumours;Recurrent bacterial, fungal and mycobacterial infections, viral warts, molluscum and EBV lymphoproliferative and other malignancy, atopy;Diseases of Immune Dysregulation				27647349;27896283;28112205;29479355		False	3	100;0;0	2.465	False		ENSG00000159753	ENSG00000159753	HGNC:27089													
CASP10	gene	CASP10	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Autoimmune lymphoproliferative syndrome, type II, 603909;Autoimmune lymphoproliferative syndrome (ALPS);Adenopathies, splenomegaly, autoimmunity;Diseases of Immune Dysregulation				25663566;16446975;16611303;10412980;21447005;27378136;9028957		False	3	100;0;0	2.465	False		ENSG00000003400	ENSG00000003400	HGNC:1500													
CASP8	gene	CASP8	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Caspase-8 deficiency state;CEDS;Immunodeficiency due to CASP8 deficiency;Caspase 8 deficiency;Autoimmune lymphoproliferative syndrome (ALPS);?Autoimmune lymphoproliferative syndrome, type IIB, 607271;Adenopathies, splenomegaly, bacterial and viral infections, hypogammaglobulinemia;Diseases of Immune Dysregulation				12353035;20301287;16157684;24240292;15492869		False	3	100;0;0	2.465	False		ENSG00000064012	ENSG00000064012	HGNC:1509													
CCBE1	gene	CCBE1	Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Hennekam lymphangiectasia-lymphedema syndrome 1, 235510;Lymphangiectasia and lymphedema with facial abnormalities and other dysmorphic features;Combined immunodeficiencies with associated or syndromic features				19911200;24913602;19935664		False	3	100;0;0	2.465	False		ENSG00000183287	ENSG00000183287	HGNC:29426													
CD19	gene	CD19	A- or hypo-gammaglobulinaemia v1.25;ESID Registry 20171117;Expert Review Green;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Immunodeficiency, common variable, 3 613493;hypogammaglobulinemia;Immunodeficiency, common variable, 3;Common variable immunodeficiency disorders (CVID);Isolated IgG subclass deficiency;Recurrent infections, may have glomerulonephritis;Predominantly Antibody Deficiencies				16672701;21330302;21159371		False	3	100;0;0	2.465	False		ENSG00000177455	ENSG00000177455	HGNC:1633													
CD27	gene	CD27	Combined B and T cell defect v1.12;ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Lymphoproliferative syndrome 2;Combined immunodeficiency with EBV-associated lymphoproliferation;Combined immunodeficiency;CD27 deficiency;Features triggered by EBV infection, HLH, aplastic anemia, low iNKT cells, lymphoma;Diseases of Immune Dysregulation				25843314;22801960;22197273		False	3	100;0;0	2.465	False		ENSG00000139193	ENSG00000139193	HGNC:11922													
CD3D	gene	CD3D	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;SCID v1.6;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Immunodeficiency 19;Severe Combined Immune Deficiency;Severe combined immunodeficiency, T cell-negative, B-cell/natural killer-cell positive;T-B+ SCID;CD3d deficiency;Atypical Severe Combined Immunodeficiency (Atypical SCID);Severe combined immunodeficiency (SCID);Nl NK, no g/d T cells;Immunodeficiencies affecting cellular and humoral immunity				14602880;21926461;15546002		False	3	100;0;0	2.465	False		ENSG00000167286	ENSG00000167286	HGNC:1673													
CD3E	gene	CD3E	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;SCID v1.6;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Immunodeficiency 18, SCID variant;Severe Combined Immune Deficiency;Immunodeficiency due to defect in CD3-epsilon;T-B+ SCID;CD3e deficiency;Atypical Severe Combined Immunodeficiency (Atypical SCID);Severe combined immunodeficiency (SCID);Nl NK, no g/d T cells;Immunodeficiencies affecting cellular and humoral immunity				15546002;8490660		False	3	100;0;0	2.465	False		ENSG00000198851	ENSG00000198851	HGNC:1674													
CD3G	gene	CD3G	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;Other;Victorian Clinical Genetics Services	Primary immunodeficiency			BIALLELIC, autosomal or pseudoautosomal	Immunodeficiency 17, CD3 gamma deficient 615607;CD3z deficiency;Combined immunodeficiency;N/A;Immunodeficiencies affecting cellular and humoral immunity				29653965;17277165;1635567;24910257		False	3	100;0;0	2.465	False		ENSG00000160654	ENSG00000160654	HGNC:1675													
